,url
16058,https://www.vgchartz.com/game/226303/momotaro-dentetsu/
52794,https://www.vgchartz.com/game/226271/backyard-sports/
52796,https://www.vgchartz.com/game/227756/mario-amp-sonic-at-the-olympic-games/
38951,https://www.vgchartz.com/game/227649/the-elder-scrolls-online/
52795,https://www.vgchartz.com/game/226213/famista/
44481,https://www.vgchartz.com/game/226105/just-cause/
44479,https://www.vgchartz.com/game/12531/counter-strike-source/
35594,https://www.vgchartz.com/game/226216/burnout/
28271,https://www.vgchartz.com/game/226262/gex/
28272,https://www.vgchartz.com/game/6427/sonic-the-hedgehog/
8395,https://www.vgchartz.com/game/227577/assassins-creed-iv-black-flag/
8396,https://www.vgchartz.com/game/226331/barbie/
44480,https://www.vgchartz.com/game/227606/battlefield-3/
8398,https://www.vgchartz.com/game/227687/red-dead-redemption/
35595,https://www.vgchartz.com/game/227563/need-for-speed-underground/
8397,https://www.vgchartz.com/game/226044/dead-rising/
38952,https://www.vgchartz.com/game/228356/pokemon-brilliant-diamond-shining-pearl/
35596,https://www.vgchartz.com/game/886/gran-turismo-3-a-spec/
18429,https://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/
18430,https://www.vgchartz.com/game/225646/ring-fit-adventure/
38953,https://www.vgchartz.com/game/223377/pokemon-lets-go-pikachueevee/
38954,https://www.vgchartz.com/game/4035/pokemon-yellow-special-pikachu-edition/
38955,https://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/
52797,https://www.vgchartz.com/game/227509/fifa-13/
8399,https://www.vgchartz.com/game/227493/grand-theft-auto-iii/
44484,https://www.vgchartz.com/game/6964/halo-3/
8400,https://www.vgchartz.com/game/229378/lego-batman/
52798,https://www.vgchartz.com/game/226306/everybodys-golf/
16125,https://www.vgchartz.com/game/231137/street-fighter-ii/
52799,https://www.vgchartz.com/game/227597/nba-2k20/
8402,https://www.vgchartz.com/game/227733/mafia/
8401,https://www.vgchartz.com/game/226360/dead-island/
38956,https://www.vgchartz.com/game/226153/yo-kai-watch/
44485,https://www.vgchartz.com/game/227698/star-wars-battlefront-2015/
32160,https://www.vgchartz.com/game/227751/portal/
38957,https://www.vgchartz.com/game/228357/pokemon-legends-arceus/
38958,https://www.vgchartz.com/game/227434/final-fantasy-vii/
58346,https://www.vgchartz.com/game/228816/fire-emblem/
27716,https://www.vgchartz.com/game/226181/guild-wars/
28273,https://www.vgchartz.com/game/70735/new-super-mario-bros-2/
8404,https://www.vgchartz.com/game/227462/resident-evil-5/
16126,https://www.vgchartz.com/game/226138/dragon-ball-xenoverse/
38959,https://www.vgchartz.com/game/226196/paper-mario/
16127,https://www.vgchartz.com/game/6962/super-smash-bros-brawl/
28274,https://www.vgchartz.com/game/222773/new-super-mario-bros-u-deluxe/
44491,https://www.vgchartz.com/game/153120/splatoon-2/
27830,https://www.vgchartz.com/game/228764/rock-band/
44492,https://www.vgchartz.com/game/43865/portal-2/
49749,https://www.vgchartz.com/game/71137/animal-crossing-new-leaf/
18431,https://www.vgchartz.com/game/51765/minecraft/
32161,https://www.vgchartz.com/game/226261/scribblenauts/
49750,https://www.vgchartz.com/game/155895/stardew-valley/
44493,https://www.vgchartz.com/game/226159/arma/
28275,https://www.vgchartz.com/game/50395/super-mario-3d-land/
28276,https://www.vgchartz.com/game/6963/super-mario-galaxy/
38960,https://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/
14,https://www.vgchartz.com/game/83197/grand-theft-auto-v/
38961,https://www.vgchartz.com/game/227013/fable/
10037,https://www.vgchartz.com/game/226305/myst/
8405,https://www.vgchartz.com/game/227759/batman-arkham-city/
8406,https://www.vgchartz.com/game/230039/rust/
38962,https://www.vgchartz.com/game/71482/the-witcher-3-wild-hunt/
52800,https://www.vgchartz.com/game/226201/mario-golf/
44495,https://www.vgchartz.com/game/228256/metro/
38963,https://www.vgchartz.com/game/226197/mario-amp-luigi/
28277,https://www.vgchartz.com/game/226212/wario/
8407,https://www.vgchartz.com/game/227460/resident-evil-4/
32162,https://www.vgchartz.com/game/228320/bomberman/
38964,https://www.vgchartz.com/game/229510/7-days-to-die/
8408,https://www.vgchartz.com/game/227576/assassins-creed-iii/
35597,https://www.vgchartz.com/game/228868/assetto-corsa/
8409,https://www.vgchartz.com/game/226265/jak-and-daxter/
38965,https://www.vgchartz.com/game/24178/diablo-iii/
38966,https://www.vgchartz.com/game/4024/pokemon-firered-leafgreen-version/
44497,https://www.vgchartz.com/game/226176/left-4-dead/
27717,https://www.vgchartz.com/game/6529/world-of-warcraft/
44498,https://www.vgchartz.com/game/226304/socom/
44496,https://www.vgchartz.com/game/7279/half-life-2/
52801,https://www.vgchartz.com/game/227596/nba-2k19/
16128,https://www.vgchartz.com/game/227670/mortal-kombat-11/
49751,https://www.vgchartz.com/game/226215/cooking-mama/
35598,https://www.vgchartz.com/game/7678/gran-turismo-5/
28278,https://www.vgchartz.com/game/2278/super-mario-64/
8410,https://www.vgchartz.com/game/80977/the-last-of-us-remastered/
35599,https://www.vgchartz.com/game/887/gran-turismo-4/
49752,https://www.vgchartz.com/game/82/animal-crossing-wild-world/
32163,https://www.vgchartz.com/game/226347/the-room/
44499,https://www.vgchartz.com/game/227735/max-payne/
8411,https://www.vgchartz.com/game/222771/luigis-mansion-3/
8412,https://www.vgchartz.com/game/227469/resident-evil-7/
27831,https://www.vgchartz.com/game/226168/taiko-no-tatsujin/
8413,https://www.vgchartz.com/game/230084/monster-hunter-rise/
38967,https://www.vgchartz.com/game/227996/dragon-age/
28279,https://www.vgchartz.com/game/4437/super-mario-land-2-6-golden-coins/
28110,https://www.vgchartz.com/game/226183/wii-party/
32164,https://www.vgchartz.com/game/226373/big-brain-academy/
28281,https://www.vgchartz.com/game/71893/super-mario-64-ds/
28280,https://www.vgchartz.com/game/2279/super-mario-64-ds/
8414,https://www.vgchartz.com/game/229376/lego-batman-the-videogame/
8415,https://www.vgchartz.com/game/227643/tomb-raider-2013/
58347,https://www.vgchartz.com/game/227695/civilization-vi/
28111,https://www.vgchartz.com/game/226930/fall-guys-ultimate-knockout/
52803,https://www.vgchartz.com/game/227729/nba-2k21/
44500,https://www.vgchartz.com/game/227724/bioshock-infinite/
58348,https://www.vgchartz.com/game/7214/starcraft/
44501,https://www.vgchartz.com/game/228032/sniper-ghost-warrior/
27832,https://www.vgchartz.com/game/226272/dance-dance-revolution/
35600,https://www.vgchartz.com/game/227564/need-for-speed-underground-2/
16129,https://www.vgchartz.com/game/227669/mortal-kombat-x/
35601,https://www.vgchartz.com/game/227566/need-for-speed-prostreet/
35602,https://www.vgchartz.com/game/884/gran-turismo/
8416,https://www.vgchartz.com/game/227465/resident-evil-6/
28282,https://www.vgchartz.com/game/4432/super-mario-all-stars/
52806,https://www.vgchartz.com/game/227953/rocket-league/
52805,https://www.vgchartz.com/game/226340/rocket-league/
49753,https://www.vgchartz.com/game/226178/tomodachi/
44504,https://www.vgchartz.com/game/227084/star-fox/
58349,https://www.vgchartz.com/game/226142/nobunagas-ambition/
38968,https://www.vgchartz.com/game/226250/saga/
8417,https://www.vgchartz.com/game/227468/resident-evil-2-2019/
28283,https://www.vgchartz.com/game/227684/crash-bandicoot-n-sane-trilogy/
38971,https://www.vgchartz.com/game/230402/pokemon-scarlet-violet/
8422,https://www.vgchartz.com/game/227983/star-wars-jedi-fallen-order/
28112,https://www.vgchartz.com/game/226161/buzz/
28284,https://www.vgchartz.com/game/226151/pitfall/
8423,https://www.vgchartz.com/game/228239/valheim/
8424,https://www.vgchartz.com/game/227879/watch-dogs/
8425,https://www.vgchartz.com/game/227880/watch-dogs-2/
35603,https://www.vgchartz.com/game/226444/mx-vs-atv/
44506,https://www.vgchartz.com/game/227672/far-cry-3/
52807,https://www.vgchartz.com/game/227505/fifa-10/
44507,https://www.vgchartz.com/game/227675/far-cry-4/
44508,https://www.vgchartz.com/game/227676/far-cry-5/
44509,https://www.vgchartz.com/game/226076/killing-floor/
44510,https://www.vgchartz.com/game/228338/titanfall/
44511,https://www.vgchartz.com/game/227719/tom-clancys-ghost-recon-wildlands/
44512,https://www.vgchartz.com/game/227715/tom-clancys-rainbow-six-siege/
44513,https://www.vgchartz.com/game/227877/tom-clancys-the-division/
44514,https://www.vgchartz.com/game/227878/tom-clancys-the-division-2/
16131,https://www.vgchartz.com/game/227438/tekken-7/
38969,https://www.vgchartz.com/game/227746/dark-souls-iii/
52808,https://www.vgchartz.com/game/227508/fifa-12/
8420,https://www.vgchartz.com/game/227578/assassins-creed-unity/
52809,https://www.vgchartz.com/game/227595/nba-2k18/
49754,https://www.vgchartz.com/game/227546/the-sims-3/
38970,https://www.vgchartz.com/game/227562/final-fantasy-xv/
58351,https://www.vgchartz.com/game/226097/the-settlers/
8418,https://www.vgchartz.com/game/227580/assassins-creed-odyssey/
8419,https://www.vgchartz.com/game/227579/assassins-creed-origins/
18433,https://www.vgchartz.com/game/48264/just-dance-3/
18432,https://www.vgchartz.com/game/45671/just-dance-2/
